,state,column,totalInfluence,absTotal,scaledInfluence,featureName,effectsLagDays,featureValue,simuFlag,version,group
122,Florida,AverageSurfaceAirPressure_28d_Lag > 30.00,-0.12988494122476196,0.12988494122476196,-3.3966412600976055,AverageSurfaceAirPressure,28,>30.00,0,lime_actual_120,Not controlable
128,Florida,AverageWindGustSpeed_28d_Lag <= 0.00,0.05526799641476199,0.05526799641476199,1.4453219535315778,AverageWindGustSpeed,28,<=0.00,0,lime_actual_120,Not controlable
131,Florida,72.00 < AverageDewPoint_35d_Lag <= 73.00,0.03990625236240583,0.03990625236240583,1.0435946002043057,AverageDewPoint,35,72.00< & <=73.00,0,lime_actual_120,Not controlable
132,Florida,AverageSurfaceAirPressure_21d_Lag > 30.00,-0.03670938912077221,0.03670938912077221,-0.9599929333210626,AverageSurfaceAirPressure,21,>30.00,0,lime_actual_120,Not controlable
133,Florida,AverageRelativeHumidity_28d_Lag <= 76.00,-0.03635837217272468,0.03635837217272468,-0.9508134346240692,AverageRelativeHumidity,28,<=76.00,0,lime_actual_120,Not controlable
134,Florida,AverageDailyTemperature_14d_Lag > 81.00,0.034255839691241026,0.034255839691241026,0.8958297813232254,AverageDailyTemperature,14,>81.00,0,lime_actual_120,Not controlable
135,Florida,3.00 < AverageWindSpeed_28d_Lag <= 4.00,0.032913261017182616,0.032913261017182616,0.860719798008512,AverageWindSpeed,28,3.00< & <=4.00,0,lime_actual_120,Not controlable
136,Florida,76.00 < AverageRelativeHumidity_21d_Lag <= 80.00,-0.030980997177931808,0.030980997177931808,-0.8101888664016179,AverageRelativeHumidity,21,76.00< & <=80.00,0,lime_actual_120,Not controlable
137,Florida,AverageWindGustSpeed_14d_Lag > 1.00,0.02532836254720113,0.02532836254720113,0.6623659407110143,AverageWindGustSpeed,14,>1.00,0,lime_actual_120,Not controlable
138,Florida,3.00 < OxCGRT_Policy_C4_RestrictionsOnGatherings_14d_Lag <= 4.00,-0.01534321735833739,0.01534321735833739,-0.4012428588760758,OxCGRT_Policy_C4_RestrictionsOnGatherings,14,3.00< & <=4.00,0,lime_actual_120,Policymaker controlable
139,Florida,2.00 < AverageWindSpeed_35d_Lag <= 3.00,0.014841930911068337,0.014841930911068337,0.38813363917850247,AverageWindSpeed,35,2.00< & <=3.00,0,lime_actual_120,Not controlable
140,Florida,AverageWindGustSpeed_21d_Lag > 1.00,0.013850977910128482,0.013850977910128482,0.3622190734246077,AverageWindGustSpeed,21,>1.00,0,lime_actual_120,Not controlable
141,Florida,AverageWindGustSpeed_35d_Lag <= 0.00,-0.012846409125426369,0.012846409125426369,-0.3359484391959586,AverageWindGustSpeed,35,<=0.00,0,lime_actual_120,Not controlable
142,Florida,75.00 < AverageRelativeHumidity_35d_Lag <= 79.00,-0.009215375853161642,0.009215375853161642,-0.2409927244451688,AverageRelativeHumidity,35,75.00< & <=79.00,0,lime_actual_120,Not controlable
143,Florida,AverageDewPoint_14d_Lag > 73.00,-0.006968202915330075,0.006968202915330075,-0.18222655611773314,AverageDewPoint,14,>73.00,0,lime_actual_120,Not controlable
144,Florida,AverageWindSpeed_21d_Lag > 4.00,-0.004070662300716658,0.004070662300716658,-0.10645252171775303,AverageWindSpeed,21,>4.00,0,lime_actual_120,Not controlable
145,Florida,29.00 < AverageSurfaceAirPressure_14d_Lag <= 30.00,0.0038891191054267306,0.0038891191054267306,0.10170495743665094,AverageSurfaceAirPressure,14,29.00< & <=30.00,0,lime_actual_120,Not controlable
146,Florida,29.00 < AverageSurfaceAirPressure_35d_Lag <= 30.00,-0.0017700301424355934,0.0017700301424355934,-0.046288333017830925,AverageSurfaceAirPressure,35,29.00< & <=30.00,0,lime_actual_120,Not controlable
147,Florida,1.00 < OxCGRT_Policy_C1_SchoolClosing_14d_Lag <= 3.00,-0.0008711686961933474,0.0008711686961933474,-0.022782067806268763,OxCGRT_Policy_C1_SchoolClosing,14,1.00< & <=3.00,0,lime_actual_120,Policymaker controlable
148,Florida,AverageRelativeHumidity_14d_Lag <= 77.00,0.0006403700440319644,0.0006403700440319644,0.016746416426562747,AverageRelativeHumidity,14,<=77.00,0,lime_actual_120,Not controlable
171,Florida,OxCGRT_Policy_H3_ContactTracing_35d_Lag <= 1.00,0.0,0.0,0.0,OxCGRT_Policy_H3_ContactTracing,35,<=1.00,0,lime_actual_120,Policymaker controlable
166,Florida,OxCGRT_Policy_C6_StayAtHomeRequirements_28d_Lag <= 2.00,0.0,0.0,0.0,OxCGRT_Policy_C6_StayAtHomeRequirements,28,<=2.00,0,lime_actual_120,Policymaker controlable
167,Florida,OxCGRT_Policy_C6_StayAtHomeRequirements_35d_Lag <= 2.00,0.0,0.0,0.0,OxCGRT_Policy_C6_StayAtHomeRequirements,35,<=2.00,0,lime_actual_120,Policymaker controlable
168,Florida,OxCGRT_Policy_C8_InternationalTravelControls_14d_Lag <= 3.00,0.0,0.0,0.0,OxCGRT_Policy_C8_InternationalTravelControls,14,<=3.00,0,lime_actual_120,Policymaker controlable
169,Florida,OxCGRT_Policy_C8_InternationalTravelControls_21d_Lag <= 3.00,0.0,0.0,0.0,OxCGRT_Policy_C8_InternationalTravelControls,21,<=3.00,0,lime_actual_120,Policymaker controlable
170,Florida,OxCGRT_Policy_C8_InternationalTravelControls_28d_Lag <= 3.00,0.0,0.0,0.0,OxCGRT_Policy_C8_InternationalTravelControls,28,<=3.00,0,lime_actual_120,Policymaker controlable
173,Florida,OxCGRT_Policy_H3_ContactTracing_21d_Lag <= 1.00,0.0,0.0,0.0,OxCGRT_Policy_H3_ContactTracing,21,<=1.00,0,lime_actual_120,Policymaker controlable
172,Florida,OxCGRT_Policy_H3_ContactTracing_28d_Lag <= 1.00,0.0,0.0,0.0,OxCGRT_Policy_H3_ContactTracing,28,<=1.00,0,lime_actual_120,Policymaker controlable
164,Florida,OxCGRT_Policy_C6_StayAtHomeRequirements_14d_Lag <= 2.00,0.0,0.0,0.0,OxCGRT_Policy_C6_StayAtHomeRequirements,14,<=2.00,0,lime_actual_120,Policymaker controlable
174,Florida,OxCGRT_Policy_H3_ContactTracing_14d_Lag <= 1.00,0.0,0.0,0.0,OxCGRT_Policy_H3_ContactTracing,14,<=1.00,0,lime_actual_120,Policymaker controlable
175,Florida,OxCGRT_Policy_C8_InternationalTravelControls_35d_Lag <= 3.00,0.0,0.0,0.0,OxCGRT_Policy_C8_InternationalTravelControls,35,<=3.00,0,lime_actual_120,Policymaker controlable
176,Florida,OxCGRT_Policy_H1_PublicInformationCampaigns_14d_Lag <= 2.00,0.0,0.0,0.0,OxCGRT_Policy_H1_PublicInformationCampaigns,14,<=2.00,0,lime_actual_120,Policymaker controlable
177,Florida,OxCGRT_Policy_H1_PublicInformationCampaigns_21d_Lag <= 2.00,0.0,0.0,0.0,OxCGRT_Policy_H1_PublicInformationCampaigns,21,<=2.00,0,lime_actual_120,Policymaker controlable
178,Florida,OxCGRT_Policy_H2_TestingPolicy_14d_Lag <= 2.00,0.0,0.0,0.0,OxCGRT_Policy_H2_TestingPolicy,14,<=2.00,0,lime_actual_120,Policymaker controlable
165,Florida,OxCGRT_Policy_C6_StayAtHomeRequirements_21d_Lag <= 2.00,0.0,0.0,0.0,OxCGRT_Policy_C6_StayAtHomeRequirements,21,<=2.00,0,lime_actual_120,Policymaker controlable
162,Florida,OxCGRT_Policy_C5_ClosePublicTransport_28d_Lag <= 1.00,0.0,0.0,0.0,OxCGRT_Policy_C5_ClosePublicTransport,28,<=1.00,0,lime_actual_120,Policymaker controlable
163,Florida,OxCGRT_Policy_C5_ClosePublicTransport_35d_Lag <= 1.00,0.0,0.0,0.0,OxCGRT_Policy_C5_ClosePublicTransport,35,<=1.00,0,lime_actual_120,Policymaker controlable
161,Florida,OxCGRT_Policy_C5_ClosePublicTransport_21d_Lag <= 1.00,0.0,0.0,0.0,OxCGRT_Policy_C5_ClosePublicTransport,21,<=1.00,0,lime_actual_120,Policymaker controlable
160,Florida,OxCGRT_Policy_C4_RestrictionsOnGatherings_35d_Lag <= 4.00,0.0,0.0,0.0,OxCGRT_Policy_C4_RestrictionsOnGatherings,35,<=4.00,0,lime_actual_120,Policymaker controlable
159,Florida,OxCGRT_Policy_C4_RestrictionsOnGatherings_28d_Lag <= 4.00,0.0,0.0,0.0,OxCGRT_Policy_C4_RestrictionsOnGatherings,28,<=4.00,0,lime_actual_120,Policymaker controlable
158,Florida,OxCGRT_Policy_C4_RestrictionsOnGatherings_21d_Lag <= 4.00,0.0,0.0,0.0,OxCGRT_Policy_C4_RestrictionsOnGatherings,21,<=4.00,0,lime_actual_120,Policymaker controlable
157,Florida,OxCGRT_Policy_C3_CancelPublicEvents_35d_Lag <= 2.00,0.0,0.0,0.0,OxCGRT_Policy_C3_CancelPublicEvents,35,<=2.00,0,lime_actual_120,Policymaker controlable
156,Florida,OxCGRT_Policy_C3_CancelPublicEvents_28d_Lag <= 2.00,0.0,0.0,0.0,OxCGRT_Policy_C3_CancelPublicEvents,28,<=2.00,0,lime_actual_120,Policymaker controlable
155,Florida,OxCGRT_Policy_C3_CancelPublicEvents_21d_Lag <= 2.00,0.0,0.0,0.0,OxCGRT_Policy_C3_CancelPublicEvents,21,<=2.00,0,lime_actual_120,Policymaker controlable
154,Florida,OxCGRT_Policy_C2_WorkplaceClosing_35d_Lag <= 2.00,0.0,0.0,0.0,OxCGRT_Policy_C2_WorkplaceClosing,35,<=2.00,0,lime_actual_120,Policymaker controlable
153,Florida,OxCGRT_Policy_C2_WorkplaceClosing_28d_Lag <= 2.00,0.0,0.0,0.0,OxCGRT_Policy_C2_WorkplaceClosing,28,<=2.00,0,lime_actual_120,Policymaker controlable
152,Florida,OxCGRT_Policy_C2_WorkplaceClosing_21d_Lag <= 2.00,0.0,0.0,0.0,OxCGRT_Policy_C2_WorkplaceClosing,21,<=2.00,0,lime_actual_120,Policymaker controlable
151,Florida,OxCGRT_Policy_C2_WorkplaceClosing_14d_Lag <= 2.00,0.0,0.0,0.0,OxCGRT_Policy_C2_WorkplaceClosing,14,<=2.00,0,lime_actual_120,Policymaker controlable
150,Florida,OxCGRT_Policy_H1_PublicInformationCampaigns_35d_Lag <= 2.00,0.0,0.0,0.0,OxCGRT_Policy_H1_PublicInformationCampaigns,35,<=2.00,0,lime_actual_120,Policymaker controlable
149,Florida,OxCGRT_Policy_H1_PublicInformationCampaigns_28d_Lag <= 2.00,0.0,0.0,0.0,OxCGRT_Policy_H1_PublicInformationCampaigns,28,<=2.00,0,lime_actual_120,Policymaker controlable
179,Florida,OxCGRT_Policy_C5_ClosePublicTransport_14d_Lag <= 1.00,0.0,0.0,0.0,OxCGRT_Policy_C5_ClosePublicTransport,14,<=1.00,0,lime_actual_120,Policymaker controlable
